Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581667200000,10124.98000000,10178.44000000,10111.57000000,10165.14000000,2046.88347100,1581670799999,20778035.33452120,25807,1084.83333600,11013027.02512868,0
1581670800000,10165.13000000,10229.50000000,10150.01000000,10223.85000000,2462.70075200,1581674399999,25096668.80033140,29303,1282.10261500,13068068.24452883,0
1581674400000,10223.86000000,10298.00000000,10206.30000000,10252.96000000,4032.69788800,1581677999999,41383289.11850923,40163,2174.69423800,22321424.96794536,0
1581678000000,10251.68000000,10278.55000000,10213.82000000,10269.24000000,2114.44999500,1581681599999,21675189.89963781,25683,1124.12289100,11524487.34650745,0
1581681600000,10269.52000000,10287.37000000,10240.00000000,10258.57000000,1711.85619600,1581685199999,17567731.76883047,25230,820.22135700,8418649.07059482,0
1581685200000,10258.56000000,10268.30000000,10240.00000000,10252.90000000,1554.39218200,1581688799999,15936567.23044923,22134,705.36238600,7232215.84556436,0
1581688800000,10253.51000000,10360.20000000,10224.00000000,10240.23000000,3915.61961200,1581692399999,40271311.26647064,41235,1997.47633500,20548597.41098506,0
1581692400000,10239.64000000,10288.00000000,10231.31000000,10249.94000000,1967.67679300,1581695999999,20192612.65993511,27039,852.93602100,8752816.61840151,0
1581696000000,10249.94000000,10308.08000000,10243.72000000,10285.00000000,2102.24493300,1581699599999,21600919.01556891,28106,1024.88225400,10530021.57572419,0
1581699600000,10285.00000000,10292.96000000,10258.25000000,10281.46000000,1527.32816400,1581703199999,15699480.72791639,23786,800.98460200,8233801.71536054,0
1581703200000,10281.67000000,10359.00000000,10281.63000000,10356.89000000,2647.98274400,1581706799999,27334022.37435547,33310,1535.98540800,15856342.06900714,0
1581706800000,10356.95000000,10375.45000000,10316.30000000,10341.64000000,1782.75338700,1581710399999,18443094.65326354,23012,879.46247800,9100992.05873388,0
1581710400000,10340.15000000,10375.00000000,10340.13000000,10354.47000000,1669.69623500,1581713999999,17300265.89495102,21350,765.84408800,7934419.29590406,0
1581714000000,10354.05000000,10381.56000000,10314.50000000,10329.81000000,1204.39021500,1581717599999,12471907.13409000,20519,569.03209200,5893944.24957363,0
1581717600000,10329.79000000,10348.41000000,10280.11000000,10346.00000000,1296.88159300,1581721199999,13388441.86798791,23712,733.39742200,7571032.47180854,0
1581721200000,10346.25000000,10352.36000000,10320.00000000,10344.36000000,1057.02272300,1581724799999,10927076.35345629,20539,514.82220200,5322233.84221221,0
1581724800000,10344.36000000,10375.00000000,10320.00000000,10333.09000000,1864.58590700,1581728399999,19300732.04218899,32157,940.33103500,9733947.63893061,0
1581728400000,10332.99000000,10349.53000000,10235.08000000,10244.50000000,2172.84920000,1581731999999,22375157.31351559,32128,1046.01032300,10774137.72959900,0
1581732000000,10245.92000000,10277.62000000,10203.52000000,10240.64000000,2049.71385000,1581735599999,20999318.61151365,31054,972.09571500,9960559.38000765,0
1581735600000,10240.20000000,10287.00000000,10240.19000000,10272.39000000,1151.03556000,1581739199999,11817533.72838991,18840,572.38668800,5876832.63849294,0
1581739200000,10273.09000000,10279.00000000,10245.01000000,10260.63000000,1043.63830800,1581742799999,10709478.32824053,19813,502.34068700,5154995.70181856,0
1581742800000,10261.17000000,10263.45000000,10220.00000000,10224.72000000,1171.99791400,1581746399999,12005996.66639589,18496,625.67755100,6409501.85549255,0
1581746400000,10223.08000000,10261.79000000,10200.00000000,10240.01000000,1227.31502300,1581749999999,12564115.03403576,20447,593.34800100,6076100.02651373,0
